date,AQI,PM2.5,PM10,NO2,SO2,CO,O3_8h_max,temperature,humidity,wind_speed
2019-01-01,52,36.1,57.9,43.2,3.8,0.93,26.4,17.9,63,3.7
2019-01-02,58,32.9,58.8,41.4,5.9,0.83,51.8,17.3,89,3.9
2019-01-03,57,36.8,74.8,46.1,7.2,0.89,43.3,15.4,75,4.1
2019-01-04,62,41.2,78.4,42.2,6.7,0.89,5.0,10.5,57,4.7
2019-01-05,46,32.4,63.8,40.6,5.6,0.88,16.1,20.0,71,2.8
2019-01-06,55,32.4,66.1,36.4,10.9,1.12,45.4,15.0,66,2.7
2019-01-07,66,41.5,76.7,42.0,8.1,0.88,33.5,14.4,59,1.9
2019-01-08,49,37.4,64.7,46.0,4.3,0.84,15.8,14.0,56,3.9
2019-01-09,54,31.3,52.6,34.7,4.4,0.84,21.7,15.8,73,3.5
2019-01-10,56,36.3,57.9,42.1,4.1,1.02,5.0,15.8,60,3.8
2019-01-11,52,31.3,54.4,43.0,6.9,0.75,29.9,16.9,64,2.2
2019-01-12,50,31.3,48.7,37.3,2.5,0.84,64.4,13.1,58,1.6
2019-01-13,62,34.8,50.8,38.1,4.3,1.06,43.3,14.4,59,4.0
2019-01-14,41,24.0,36.3,43.0,6.4,0.94,64.1,19.1,64,2.9
2019-01-15,38,25.0,42.4,34.8,6.9,0.94,44.4,15.4,68,2.8
2019-01-16,47,30.8,55.5,43.7,6.0,1.13,46.6,14.7,44,4.6
2019-01-17,51,28.5,51.9,36.2,8.1,0.94,60.8,13.1,65,3.7
2019-01-18,60,35.2,47.3,48.0,11.9,0.85,36.9,16.0,59,2.2
2019-01-19,46,29.1,46.7,55.6,5.8,0.89,28.4,17.1,76,2.8
2019-01-20,45,26.5,42.7,36.4,6.5,0.81,46.7,16.7,89,3.7
2019-01-21,62,40.9,63.0,44.8,4.9,1.05,53.0,14.5,62,2.5
2019-01-22,58,32.5,55.4,37.2,7.9,0.98,24.0,15.7,51,2.8
2019-01-23,48,33.9,66.4,47.8,6.5,1.03,20.4,18.3,66,3.3
2019-01-24,32,26.5,44.5,34.0,6.8,1.04,33.3,17.1,63,1.4
2019-01-25,39,30.9,59.1,44.5,8.7,0.88,43.7,13.4,81,2.9
2019-01-26,53,34.2,50.5,36.4,3.4,0.83,43.2,9.9,78,2.0
2019-01-27,42,27.8,47.7,40.4,7.3,0.91,9.8,15.6,72,2.0
2019-01-28,53,35.5,67.5,35.4,4.5,0.83,59.9,16.6,60,3.6
2019-01-29,46,30.6,40.1,46.5,5.8,0.94,21.6,12.8,70,4.2
2019-01-30,40,32.1,45.8,36.6,5.4,1.03,27.2,15.0,67,3.6
2019-01-31,47,30.6,44.1,44.9,7.0,0.9,17.7,14.5,67,2.0
2019-02-01,56,38.1,59.2,36.3,6.2,0.89,74.3,16.2,60,2.2
2019-02-02,39,28.7,51.9,37.7,7.5,0.87,37.4,14.9,80,4.3
2019-02-03,34,23.5,47.0,39.3,3.5,0.96,21.0,18.6,73,2.3
2019-02-04,51,32.9,53.8,33.8,6.6,0.81,46.8,16.3,71,3.4
2019-02-05,29,22.7,39.5,39.7,8.9,0.66,45.3,14.2,67,1.7
2019-02-06,58,29.8,61.9,47.6,6.2,0.93,31.0,17.8,66,3.4
2019-02-07,30,19.0,30.8,33.7,4.5,0.98,46.4,13.5,75,1.2
2019-02-08,35,22.2,38.9,45.4,9.4,0.92,21.4,18.6,58,2.0
